Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Accuracy,Spreadsheet: display,Spreadsheet: test items,BA
30,1.73E+12,2/11/2024 12:41,1.73E+12,8,3/11/2024 4:41,187120,8,task-uo5z,,41065198,BLIND,11990828,,complete,,,tablet,undefined K,Android 10,Edge 130.0.0.0,677x764,677x629,,,0,Chinese Ba Acceptability Exp.,18,Spreadsheet1,Spreadsheet1,18,Formal Test,Formal Test,s9687n,1,Formal Test,用意就是要讓業者好好思考要把票投給誰。,是
31,1.73E+12,2/11/2024 12:41,1.73E+12,8,3/11/2024 4:41,187120,8,task-uo5z,,41065198,BLIND,11990828,,complete,,,tablet,undefined K,Android 10,Edge 130.0.0.0,677x764,677x629,,,0,Chinese Ba Acceptability Exp.,18,Spreadsheet1,Spreadsheet1,19,Formal Test,Formal Test,s9687n,1,Formal Test,要懂得把握時機才能爭取升職。,否
32,1.73E+12,2/11/2024 12:42,1.73E+12,8,3/11/2024 4:42,187120,8,task-uo5z,,41065198,BLIND,11990828,,complete,,,tablet,undefined K,Android 10,Edge 130.0.0.0,677x764,677x629,,,0,Chinese Ba Acceptability Exp.,18,Spreadsheet1,Spreadsheet1,20,Formal Test,Formal Test,s9687n,1,Formal Test,教育部希望把技職體系大專院校數提高到與一般大學數量相當。,是
33,1.73E+12,2/11/2024 12:42,1.73E+12,8,3/11/2024 4:42,187120,8,task-uo5z,,41065198,BLIND,11990828,,complete,,,tablet,undefined K,Android 10,Edge 130.0.0.0,677x764,677x629,,,0,Chinese Ba Acceptability Exp.,18,Spreadsheet1,Spreadsheet1,21,Formal Test,Formal Test,s9687n,1,Formal Test,只有先把政治議題放一邊才能建立彼此信任。,是
34,1.73E+12,2/11/2024 12:42,1.73E+12,8,3/11/2024 4:42,187120,8,task-uo5z,,41065198,BLIND,11990828,,complete,,,tablet,undefined K,Android 10,Edge 130.0.0.0,677x764,677x629,,,0,Chinese Ba Acceptability Exp.,18,Spreadsheet1,Spreadsheet1,22,Formal Test,Formal Test,s9687n,1,Formal Test,老師手把手教小明寫作業。,否
35,1.73E+12,2/11/2024 12:42,1.73E+12,8,3/11/2024 4:42,187120,8,task-uo5z,,41065198,BLIND,11990828,,complete,,,tablet,undefined K,Android 10,Edge 130.0.0.0,677x764,677x629,,,0,Chinese Ba Acceptability Exp.,18,Spreadsheet1,Spreadsheet1,23,Formal Test,Formal Test,s9687n,1,Formal Test,兇手推了約翰一把。,否
36,1.73E+12,2/11/2024 12:42,1.73E+12,8,3/11/2024 4:42,187120,8,task-uo5z,,41065198,BLIND,11990828,,complete,,,tablet,undefined K,Android 10,Edge 130.0.0.0,677x764,677x629,,,0,Chinese Ba Acceptability Exp.,18,Spreadsheet1,Spreadsheet1,24,Formal Test,Formal Test,s9687n,1,Formal Test,歹徒身旁散落著兩把手槍。,否
37,1.73E+12,2/11/2024 12:42,1.73E+12,8,3/11/2024 4:42,187120,8,task-uo5z,,41065198,BLIND,11990828,,complete,,,tablet,undefined K,Android 10,Edge 130.0.0.0,677x764,677x629,,,0,Chinese Ba Acceptability Exp.,18,Spreadsheet1,Spreadsheet1,25,Formal Test,Formal Test,s9687n,1,Formal Test,新款吹風機設計成超好握的握把。,否
38,1.73E+12,2/11/2024 12:42,1.73E+12,8,3/11/2024 4:42,187120,8,task-uo5z,,41065198,BLIND,11990828,,complete,,,tablet,undefined K,Android 10,Edge 130.0.0.0,677x764,677x629,,,0,Chinese Ba Acceptability Exp.,18,Spreadsheet1,Spreadsheet1,1,Break,Screen 1,futlwl,1,Break,,
39,1.73E+12,2/11/2024 12:42,1.73E+12,8,3/11/2024 4:42,187120,8,task-uo5z,,41065198,BLIND,11990828,,complete,,,tablet,undefined K,Android 10,Edge 130.0.0.0,677x764,677x629,,,0,Chinese Ba Acceptability Exp.,18,Spreadsheet1,Spreadsheet1,26,Formal Test,Formal Test,s9687n,1,Formal Test,把門將士抵擋不住敵人攻城。,否
